Q\Phi0	-5 deg	  -10 deg	  -15 deg	  -20 deg	  -25 deg	  -30 deg	  -35 deg	  -40 deg	  -45 deg	  -50 deg	  -55 deg	  -60 deg	  -65 deg	  -70 deg	  -75 deg	  -80 deg	  -85 deg	  -90 deg
0.010	8.8667237	78.700499	699.99535	6245.5480	55957.886	503998.66	4.570E+06	4.170E+07	3.840E+08	3.570E+09	3.360E+10	3.190E+11	3.080E+12	3.010E+13	2.990E+14	3.020E+15	3.110E+16	3.270E+17
0.015	4.2856091	18.379165	78.929816	339.67321	1465.8564	6348.0356	27606.839	120653.37	530308.91	2.350E+06	1.050E+07	4.690E+07	2.130E+08	9.730E+08	4.500E+09	2.100E+10	9.960E+10	4.780E+11
0.020	2.9798094	8.8838742	26.513539	79.252215	237.38989	712.93666	2147.8859	6495.0119	19724.138	60188.141	184658.50	569940.86	1.770E+06	5.540E+06	1.750E+07	5.560E+07	1.790E+08	5.790E+08
0.025	2.3962666	5.7444775	13.782463	33.108967	79.669067	192.10724	464.40236	1125.9815	2739.3458	6690.1756	16409.815	40443.668	100204.82	249709.12	626196.90	1.580E+06	4.020E+06	1.030E+07
0.030	2.0723698	4.2962013	8.9125622	18.508546	38.48984	80.182148	167.38735	350.29886	735.16765	1547.8508	3270.6482	6938.5941	14784.866	31655.696	68133.497	147480.88	321199.98	704183.79
0.035	1.8683072	3.4916055	6.5291930	12.220270	22.899156	42.974142	80.793657	152.21757	287.47971	544.4331	1034.2363	1971.4209	3772.0157	7246.9723	13985.818	27122.619	52875.929	103667.70
0.040	1.7286618	2.9890452	5.1710652	8.9529435	15.516866	26.928341	46.805744	81.506231	142.23443	248.80742	436.40695	767.74631	1355.1048	2400.4473	4268.8880	7624.0262	13678.856	24664.100
0.045	1.6273927	2.6490157	4.3139647	7.0302221	11.467353	18.726699	30.624331	50.163094	82.322966	135.38964	223.19714	368.93028	611.60229	1017.1453	1697.4991	2843.6521	4783.1708	8080.9957
0.050	1.5507407	2.4052937	3.7323016	5.7950262	9.0052377	14.008382	21.818594	34.033446	53.176700	83.247439	130.60334	205.38741	323.84289	512.08704	812.29401	1292.8780	2065.3590	3312.4587
0.055	1.4907845	2.2228555	3.3156657	4.9485212	7.3910814	11.049735	16.538323	24.786346	37.205066	55.943411	84.283738	127.25634	192.59773	292.25160	444.73122	678.85591	1039.6922	1598.0527
0.060	1.4426545	2.0816094	3.0045919	4.3390653	6.2705694	9.0697283	13.132136	19.037447	27.637198	40.185795	58.536583	85.436495	124.97063	183.23594	269.36674	397.10320	587.20231	871.16341
0.065	1.4031980	1.9692762	2.7645978	3.8829707	5.4572377	7.6758876	10.806936	15.232356	21.497880	30.385270	43.017586	61.013059	86.710919	123.50419	176.33226	252.41319	362.33783	521.71248
0.070	1.3702868	1.8779614	2.5744793	3.5308877	4.8454573	6.6543751	9.1467642	12.585845	17.338844	23.919396	33.047873	45.737532	63.417979	88.112844	122.69652	171.26677	239.68805	336.38742
0.075	1.3424337	1.8023744	2.4205610	3.2521132	4.3717377	5.8808779	7.9175603	10.669994	14.395410	19.446243	26.306632	35.643505	48.378302	65.788106	89.648777	122.43841	167.62784	230.09728
0.080	1.3185687	1.7388457	2.2936676	3.0266836	3.9960136	5.2791889	6.9798375	9.2367608	12.236290	16.229161	21.553632	28.667270	38.190795	50.968803	68.154184	91.325952	122.65444	165.13391
0.085	1.2979030	1.6847543	2.1874357	2.8411287	3.6919542	4.8004824	6.2464133	8.1348334	10.604605	13.839651	18.084172	23.663259	31.010871	40.707995	53.534852	70.542623	93.152396	123.29227
0.090	1.2798422	1.6381812	2.0973253	2.6860706	3.4416498	4.4122880	5.6605665	7.2678590	9.3402008	12.016075	15.476778	19.960253	25.779629	33.348147	43.212782	56.099806	72.976746	95.137003
0.095	1.2639304	1.5976908	2.0200176	2.5548017	3.2325551	4.0923134	5.1841098	6.5721986	8.3392699	10.591974	13.468183	17.146577	21.859317	27.908883	35.690516	45.722229	58.685118	75.477719
0.100	1.2498121	1.5621882	1.9530347	2.4424112	3.0556556	3.8248276	4.7905649	6.0044783	7.5322473	9.4576357	11.887715	14.959676	18.849750	23.784921	30.058361	38.049849	48.252882	61.310822
0.105	1.2372058	1.5308251	1.8944916	2.3452292	2.9043284	3.5984602	4.4610956	5.5343180	6.8711454	8.5385117	10.621108	13.226343	16.490775	20.588472	25.741923	32.236319	40.438332	50.820881
0.110	1.2258861	1.5029338	1.8429308	2.2604636	2.7736114	3.4048186	4.1819973	5.1399244	6.3220137	7.7825732	9.5896865	11.828902	14.607973	18.062964	22.366144	27.736235	34.451748	42.868424
0.115	1.2156702	1.4779825	1.7972086	2.1859557	2.6597222	3.2375910	3.9430992	4.8053305	5.8602908	7.1526466	8.7379253	10.685311	13.081205	16.033780	19.678814	24.187204	29.774657	36.714268
0.120	1.2064085	1.4555421	1.7564159	2.1200125	2.5597323	3.0919518	3.7367184	4.5186169	5.4678532	6.6216132	8.0257713	9.7370438	11.825713	14.379084	17.505878	21.341854	26.056996	31.864772
0.125	1.1979771	1.4352629	1.7198214	2.0612889	2.4713429	2.9641562	3.5569591	4.2707359	5.1310894	6.1693189	7.4237651	8.9414955	10.780421	13.011961	15.724415	19.027236	23.056465	27.981678
0.130	1.1902729	1.4168570	1.6868304	2.0087042	2.3927269	2.8512589	3.3992320	4.0547152	4.8396137	5.7805340	6.9098578	8.2670781	9.9004679	11.869168	14.245810	17.119821	20.601599	24.827817
0.135	1.1832091	1.4000855	1.6569551	1.9613804	2.3224154	2.7509157	3.2599189	3.8651090	4.5853875	5.4435766	6.4672857	7.6899855	9.1523397	10.903863	13.004990	15.529670	18.568624	22.233448
0.140	1.1767124	1.3847484	1.6297910	1.9185978	2.2592153	2.6612398	3.1361335	3.6976105	4.3621080	5.1493632	6.0831214	7.1920085	8.5106067	10.080788	11.953366	14.190162	16.866575	20.074814
0.145	1.1707201	1.3706771	1.6050008	1.8797608	2.2021485	2.5806974	3.0255490	3.5487761	4.1647748	4.8907434	5.7472663	6.7590302	7.9557027	9.3730161	11.054105	13.051164	15.427512	18.260160
0.150	1.1651788	1.3577285	1.5823006	1.8443730	2.1504061	2.5080303	2.9262714	3.4158233	3.9893778	4.6620247	5.4517385	6.3799714	7.4723790	8.7597098	10.278899	12.074416	14.199937	16.720413
0.155	1.1600421	1.3457804	1.5614500	1.8120172	2.1033139	2.4421976	2.8367450	3.2964832	3.8326695	4.4586285	5.1901607	6.0460392	7.0486132	8.2245457	9.6057165	11.230331	13.144284	15.402851
0.160	1.1552700	1.3347276	1.5422441	1.7823408	2.0603056	2.3823313	2.7556816	3.1888895	3.6919961	4.2768366	4.9573872	5.7501825	6.6748238	7.7545952	9.0172156	10.495759	12.229783	14.266715
0.165	1.1508278	1.3244796	1.5245073	1.7550435	2.0209029	2.3277027	2.6820064	3.0914947	3.5651704	4.1136038	4.7492280	5.4866939	6.3433001	7.3395129	8.4995976	9.8523888	11.432230	13.280127
0.170	1.1466848	1.3149576	1.5080884	1.7298683	1.9846985	2.2776957	2.6148164	3.0030062	3.4503763	3.9664153	4.5622426	5.2509123	6.0477796	6.9709426	8.0417769	9.2855852	10.732387	12.417885
0.175	1.1428143	1.3060929	1.4928560	1.7065938	1.9513444	2.2317863	2.5533479	2.9223370	3.3460948	3.8331792	4.3935841	5.0390011	5.7831337	6.6420757	7.6347671	8.7835456	10.114816	11.659864
0.180	1.1391928	1.2978254	1.4786962	1.6850288	1.9205409	2.1895264	2.4969513	2.8485673	3.2510468	3.7121429	4.2408793	4.8477776	5.5451291	6.3473198	7.2712224	8.3366679	9.5670169	10.989851
0.185	1.1357993	1.2901022	1.4655092	1.6650067	1.8920291	2.1505306	2.4450706	2.7809138	3.1641491	3.6018290	4.1021369	4.6745841	5.3302467	6.0820467	6.9450911	7.9370777	9.0787856	10.394668
0.190	1.1326153	1.2828767	1.4532074	1.6463825	1.8655842	2.1144657	2.3972277	2.7187063	3.0844783	3.5009843	3.9756754	4.5171861	5.1355408	5.8423995	6.6513519	7.5782689	8.6417270	9.8635176
0.195	1.1296243	1.2761075	1.4417137	1.6290288	1.8410098	2.0810427	2.3530096	2.6613680	3.0112437	3.4085399	3.8600668	4.3736937	4.9585306	5.6251432	6.3858101	7.2548290	8.2488852	9.3874932
0.200	1.1268115	1.2697579	1.4309599	1.6128335	1.8181342	2.0500092	2.3120574	2.6084002	2.9437644	3.3235794	3.7540915	4.2424995	4.7971141	5.4275477	6.1449397	6.9622256	7.8944579	8.9591920
0.205	1.1241636	1.2637951	1.4208855	1.5976977	1.7968064	2.0211446	2.2740584	2.5593699	2.8814516	3.2453130	3.6567028	4.1222292	4.6495009	5.2472958	5.9257590	6.6966401	7.5735748	8.5724230
0.210	1.1216689	1.2581899	1.4114367	1.5835338	1.7768928	1.9942547	2.2387387	2.5138995	2.8237935	3.1730572	3.5669979	4.0117014	4.5141578	5.0824105	5.7257329	6.4548372	7.2821236	8.2219774
0.215	1.1193167	1.2529160	1.4025653	1.5702637	1.7582756	1.9691685	2.2058579	2.4716583	2.7703439	3.1062178	3.4841947	3.9098966	4.3897654	4.9311963	5.5426945	6.2340609	7.0166130	7.9034476
0.220	1.1170972	1.2479500	1.3942285	1.5578182	1.7408498	1.9457344	2.1752036	2.4323559	2.7207117	3.0442761	3.4076127	3.8159302	4.2751835	4.7921925	5.3747830	6.0319519	6.7740637	7.6130838
0.225	1.1150018	1.2432704	1.3863875	1.5461349	1.7245221	1.9238181	2.1465881	2.3957360	2.6745535	2.9867777	3.3366577	3.7290325	4.1694221	4.6641349	5.2203928	5.8464805	6.5519203	7.3476804
0.230	1.1130225	1.2388582	1.3790077	1.5351583	1.7092091	1.9032999	2.1198450	2.3615719	2.6315660	2.9333229	3.2708085	3.6485302	4.0716187	4.5459248	5.0781326	5.6758933	6.3479816	7.1044830
0.235	1.1111523	1.2346960	1.3720579	1.5248385	1.6948361	1.8840729	2.0948260	2.3296626	2.5914813	2.8835592	3.2096069	3.5738329	3.9810183	4.4366037	4.9467920	5.5186686	6.1603428	6.8811154
0.240	1.1093844	1.2307682	1.3655097	1.5151303	1.6813360	1.8660415	2.0713987	2.2998291	2.5540613	2.8371744	3.1526480	3.5044207	3.8969582	4.3353322	4.8253137	5.3734811	5.9873489	6.6755181
0.245	1.1077132	1.2270605	1.3593376	1.5059933	1.6686486	1.8491199	2.0494447	2.2719116	2.5190943	2.7938917	3.0995737	3.4398346	3.8188546	4.2413728	4.7127708	5.2391718	5.8275565	6.4858993
0.250	1.1061330	1.2235599	1.3535186	1.4973906	1.6567194	1.8332310	2.0288581	2.2457673	2.4863912	2.7534644	3.0500659	3.3796676	3.7461914	4.1540749	4.6083482	5.1147237	5.6797018	6.3106944
0.255	1.1046390	1.2202546	1.3480315	1.4892892	1.6454995	1.8183055	2.0095433	2.2212682	2.4557831	2.7156725	3.0038411	3.3235585	3.6785113	4.0728634	4.5113264	4.9992412	5.5426747	6.1485318
0.260	1.1032267	1.2171340	1.3428572	1.4816589	1.6349445	1.8042805	1.9914146	2.1982991	2.4271184	2.6803191	2.9606465	3.2711853	3.6154075	3.9972280	4.4210686	4.8919335	5.4154968	5.9982053
0.265	1.1018920	1.2141883	1.3379785	1.4744724	1.6250141	1.7910995	1.9743944	2.1767566	2.4002609	2.6472277	2.9202558	3.2222605	3.5565177	3.9267147	4.3370095	4.7920997	5.2973029	5.8586507
0.270	1.1006310	1.2114085	1.3333795	1.4677048	1.6156720	1.7787112	1.9584127	2.1565470	2.3750881	2.6162396	2.8824658	3.1765266	3.5015178	3.8609186	4.2586458	4.6991173	5.1873259	5.7289259
0.275	1.0994404	1.2087864	1.3290458	1.4613336	1.6068850	1.7670692	1.9434064	2.1375862	2.3514894	2.5872121	2.8470943	3.1337528	3.4501179	3.7994778	4.1855282	4.6124313	5.0848835	5.6081949
0.280	1.0983169	1.2063146	1.3249642	1.4553383	1.5986230	1.7561312	1.9293179	2.1197978	2.3293651	2.5600163	2.8139769	3.0937313	3.4020574	3.7420677	4.1172548	4.5315464	4.9893674	5.4957135
0.285	1.0972577	1.2039864	1.3211228	1.4497001	1.5908587	1.7458590	1.9160953	2.1031127	2.3086248	2.5345360	2.7829655	3.0562751	3.3571022	3.6883969	4.0534651	4.4560187	4.9002335	5.3908172
0.290	1.0962602	1.2017955	1.3175107	1.4444020	1.5835673	1.7362178	1.9036915	2.0874681	2.2891868	2.5106660	2.7539260	3.0212153	3.3150410	3.6382032	3.9938352	4.3854501	4.8169946	5.2929119
0.295	1.0953220	1.1997362	1.3141179	1.4394285	1.5767261	1.7271761	1.8920634	2.0728073	2.2709770	2.4883108	2.7267373	2.9883994	3.2756832	3.5912499	3.9380730	4.3194822	4.7392128	5.2014643
0.300	1.0944407	1.1978035	1.3109353	1.4347655	1.5703146	1.7187050	1.8811723	2.0590786	2.2539280	2.4673842	2.7012896	2.9576892	3.2388564	3.5473232	3.8859153	4.2577921	4.6664938	5.1159951
0.305	1.0936146	1.1959926	1.3079548	1.4304001	1.5643141	1.7107786	1.8709826	2.0462351	2.2379789	2.4478075	2.6774834	2.9289595	3.2044044	3.5062298	3.8371238	4.2000882	4.5984821	5.0360724
0.310	1.0928416	1.1942992	1.3051689	1.4263208	1.5587076	1.7033730	1.8614623	2.0342342	2.2230742	2.4295097	2.6552281	2.9020966	3.1721854	3.4677941	3.7914828	4.1461064	4.5348562	4.9613063
0.315	1.0921203	1.1927196	1.3025707	1.4225170	1.5534797	1.6964668	1.8525822	2.0230373	2.2091633	2.4124259	2.6344417	2.8769972	3.1420707	3.4318571	3.7487965	4.0956074	4.4753248	4.8913438
0.320	1.0914490	1.1912501	1.3001542	1.4189791	1.5486166	1.6900405	1.8443159	2.0126092	2.1962006	2.3964973	2.6150493	2.8535673	3.1139433	3.3982738	3.7088871	4.0483739	4.4196236	4.8258650
0.325	1.0908265	1.1898878	1.2979139	1.4156985	1.5441055	1.6840765	1.8366393	2.0029181	2.1841445	2.3816704	2.5969830	2.8317215	3.0876966	3.3669126	3.6715926	4.0042082	4.3675125	4.7645793
0.330	1.0902516	1.1886298	1.2958448	1.4126676	1.5399353	1.6785588	1.8295309	1.9939352	2.1729572	2.3678966	2.5801809	2.8113819	3.0632335	3.3376531	3.6367655	3.9629299	4.3187725	4.7072220
0.335	1.0897233	1.1874736	1.2939426	1.4098794	1.5360957	1.6734733	1.8229711	1.9856342	2.1626045	2.3551316	2.5645867	2.7924774	3.0404653	3.3103859	3.6042710	3.9243748	4.2732041	4.6535521
0.340	1.0892405	1.1864170	1.2922034	1.4073278	1.5325779	1.6688071	1.8169423	1.9779918	2.1530555	2.3433355	2.5501492	2.7749435	3.0193114	3.2850108	3.5739860	3.8883925	4.2306249	4.6033493
0.345	1.0888026	1.1854583	1.2906239	1.4050076	1.5293738	1.6645489	1.8114289	1.9709867	2.1442821	2.3324717	2.5368217	2.7587211	2.9996977	3.2614361	3.5457980	3.8548455	4.1908679	4.5564120
0.350	1.0884089	1.1845957	1.2892011	1.4029141	1.5264764	1.6606886	1.8064168	1.9646000	2.1362591	2.3225075	2.5245619	2.7437564	2.9815568	3.2395781	3.5196037	3.8236077	4.1537800	4.5125556
0.355	1.0880588	1.1838280	1.2879327	1.4010432	1.5238797	1.6572176	1.8018938	1.9588147	2.1289639	2.3134129	2.5133314	2.7300005	2.9648272	3.2193601	3.4953085	3.7945633	4.1192208	4.4716103
0.360	1.0877518	1.1831541	1.2868166	1.3993918	1.5215787	1.6541281	1.7978490	1.9536158	2.1223763	2.3051612	2.5030951	2.7174087	2.9494523	3.2007116	3.4728255	3.7676059	4.0870609	4.4334203
0.365	1.0874878	1.1825732	1.2858514	1.3979572	1.5195690	1.6514138	1.7942732	1.9489903	2.1164781	2.2977282	2.4938216	2.7059403	2.9353805	3.1835681	3.4520747	3.7426377	4.0571814	4.3978418
0.370	1.0872664	1.1820847	1.2850358	1.3967373	1.5178473	1.6490694	1.7911582	1.9449267	2.1112535	2.2910925	2.4854823	2.6955582	2.9225648	3.1678702	3.4329827	3.7195683	4.0294723	4.3647422
